source,target
50,87
50,54
50,53
50,52
74,38
74,31
74,73
74,84
52,49
52,51
52,53
52,50
27,53
27,19
27,67
27,30
27,38
83,48
83,31
83,80
83,75
83,82
37,77
37,44
37,47
37,48
37,31
37,43
37,38
37,35
37,34
51,53
51,52
89,61
89,90
89,57
14,16
14,13
14,10
14,11
14,91
47,48
47,31
47,37
47,91
21,17
21,23
21,18
21,20
8,16
8,14
8,11
8,31
8,76
8,10
8,13
8,3
8,0
8,77
8,7
8,2
8,91
39,17
23,22
23,72
23,53
23,20
23,18
23,67
23,17
84,48
84,31
84,74
84,76
84,77
84,91
84,73
84,80
68,85
68,17
68,53
68,77
68,69
68,70
68,59
68,27
68,60
68,61
68,19
68,72
68,57
68,67
87,88
87,86
87,85
13,16
13,14
13,10
13,11
13,7
13,91
73,74
73,82
73,76
73,75
73,67
73,84
73,31
73,91
73,77
73,80
73,38
45,37
45,38
45,35
45,43
45,48
45,31
59,72
59,61
59,20
59,57
59,69
63,55
20,22
20,72
20,23
20,17
20,59
20,69
20,61
20,19
20,55
20,18
56,23
56,55
56,20
56,18
56,17
56,70
56,22
56,71
56,53
56,31
56,69
56,73
56,60
56,38
56,62
56,59
56,85
56,91
56,77
56,27
56,61
56,30
56,66
56,68
56,72
56,64
56,65
56,90
56,67
56,57
3,14
3,11
3,76
3,13
3,10
3,84
3,80
3,91
3,0
3,77
88,86
88,87
88,85
62,68
62,67
62,72
62,59
62,19
62,20
62,69
62,57
62,55
62,61
62,60
79,76
7,16
7,10
7,13
7,38
7,77
7,5
7,91
31,47
31,37
31,34
31,80
31,48
31,77
31,84
31,76
31,44
31,35
31,91
31,33
31,73
31,36
31,43
31,38
70,23
70,53
49,50
49,52
49,53
80,14
80,13
80,48
80,31
80,76
80,83
80,82
80,3
80,84
80,73
80,77
80,91
66,55
66,61
66,57
66,68
66,72
66,65
66,67
12,91
46,37
46,48
69,68
69,20
69,19
69,61
69,67
69,72
69,62
69,55
69,59
69,57
65,59
65,61
65,68
65,72
65,67
65,57
78,76
1,16
1,91
29,35
29,43
29,38
91,16
91,14
91,4
91,11
91,76
91,13
91,3
91,47
91,10
91,84
91,31
91,73
91,15
91,38
91,5
91,80
91,7
91,2
91,0
91,77
28,33
76,14
76,78
76,80
76,48
76,84
76,10
76,91
76,31
76,73
76,77
61,68
61,20
61,55
61,59
61,65
61,69
61,67
61,56
61,57
61,72
61,60
71,27
71,55
71,69
71,67
71,61
15,16
15,48
15,76
15,10
15,7
15,77
15,91
15,31
30,38
30,23
30,35
30,32
30,53
30,27
30,72
85,17
85,68
85,53
85,72
85,24
85,88
85,87
85,61
85,50
85,86
41,37
41,48
41,44
82,40
82,84
82,76
82,73
82,77
82,83
82,80
67,23
67,20
67,25
67,55
67,18
67,69
67,22
67,70
67,17
67,38
67,53
67,35
67,61
67,60
67,59
67,73
67,19
67,27
67,68
67,66
67,72
67,65
67,56
67,57
77,81
77,37
77,13
77,74
77,31
77,82
77,0
77,76
77,75
77,84
77,3
77,10
77,73
77,38
77,7
77,80
77,2
77,91
72,19
72,23
72,20
72,59
72,68
72,55
72,69
72,60
72,61
72,67
0,16
0,14
0,11
0,4
0,84
0,76
0,13
0,7
0,10
0,31
0,3
0,38
0,5
0,2
0,91
0,77
90,57
40,84
33,38
33,48
33,31
5,16
5,14
5,2
5,11
5,4
5,13
5,10
5,77
5,7
5,91
24,85
43,34
43,37
43,48
43,29
43,35
43,31
43,38
81,77
38,17
38,74
38,46
38,34
38,37
38,7
38,48
38,76
38,29
38,44
38,32
38,35
38,0
38,28
38,43
38,91
38,77
38,2
38,31
38,73
38,27
38,15
38,36
11,16
11,14
11,13
11,91
11,4
22,18
22,23
22,20
22,19
6,16
6,14
6,11
6,0
6,31
6,3
6,76
6,13
6,10
6,38
6,5
6,7
6,2
6,91
6,77
18,22
18,17
18,23
18,19
18,20
16,14
16,91
16,13
16,11
64,59
64,67
64,57
57,23
57,20
57,55
57,59
57,53
57,72
57,69
57,60
57,62
57,61
57,68
57,64
57,67
57,65
57,89
57,56
57,90
60,55
60,59
60,65
60,67
60,72
60,57
60,68
60,61
55,72
55,19
55,20
55,59
55,69
55,60
55,62
55,57
55,61
54,52
54,51
54,53
54,50
36,43
36,35
36,33
10,16
10,14
10,13
10,4
10,11
10,0
10,3
10,76
10,7
10,77
10,91
48,34
48,35
48,47
48,41
48,37
48,43
48,76
48,80
48,32
48,38
48,31
48,44
19,30
19,23
19,62
19,25
19,69
19,55
19,20
19,22
19,27
19,59
19,18
19,53
19,17
19,72
19,60
19,61
19,67
19,68
2,16
2,14
2,80
2,5
2,38
2,7
2,91
2,77
53,30
53,54
53,49
53,70
53,61
53,51
53,50
53,52
86,88
86,87
86,85
75,31
75,83
75,84
75,77
75,76
75,73
4,16
4,91
4,10
34,31
34,48
34,38
34,43
34,37
25,19
25,27
25,24
25,38
44,37
44,41
44,48
44,31
44,38
17,72
17,38
17,30
17,23
17,85
17,25
17,69
17,55
17,20
17,18
17,59
17,53
17,90
17,19
17,67
17,39
35,30
35,34
35,47
35,48
35,67
35,37
35,29
35,43
35,31
35,38
