source,target
0,1
0,1
0,1
0,1
0,1
0,9
1,2
1,3
1,21
1,22
2,3
2,15
3,4
3,11
3,12
3,16
3,17
3,15
3,19
3,22
3,7
3,9
4,25
4,24
4,13
5,4
6,3
6,7
6,7
6,7
6,7
6,7
7,11
7,5
7,6
7,6
7,6
7,6
7,6
7,20
8,26
8,25
9,1
9,2
9,3
10,0
10,25
11,9
11,12
11,16
11,21
11,8
12,14
12,1
12,7
12,22
12,20
13,1
14,11
15,21
15,8
15,4
15,17
15,12
16,17
16,12
16,22
16,23
16,13
16,14
16,3
16,4
16,10
17,10
17,11
17,12
17,13
17,3
17,16
17,22
17,7
17,0
17,18
17,15
17,14
17,23
17,19
18,0
19,5
20,5
20,7
20,9
21,11
22,13
22,15
22,17
22,18
22,21
22,18
22,3
23,3
23,19
24,3
24,17
24,21
25,17
26,3
